,Movie_title,user_rating,Genres,Cast
0,Quicksand,not_rated,"Thriller,Horror","Lin Shaye,Leigh Whannell,Angus Sampson,Kirk Acevedo,Caitlin Gerard,Spencer Locke,Josh Stewart,Tessa Ferrer,Aleque Reid,Ava Kolker,Pierce Pope,Bruce Davison,Javier Botet,Marcus Henderson,Amanda Jaros,Judith Drake,Hana Hayes,Thomas Robie,Josh Wingate,Danielle Kennedy,Melanie Gaydos,Ty Simpkins,Rose Byrne,Patrick Wilson,Stefanie Scott,Barbara Hershey,Joseph Bishara,Danielle Bisutti,Brynn Bowie,Madison Bowie,Lubella Gauna,Zahra Susan Ingersoll,Paul LeClair,Craig Reed"
1,The Out-Laws,62,"Romance,Action,Comedy","Adam Devine,Nina Dobrev,Pierce Brosnan,Ellen Barkin,Julie Hagerty,Richard Kind,Michael Rooker,Poorna Jagannathan,Lil Rel Howery,Blake Anderson,Laci Mosley,Lauren Lapkus,Dean Winters,Daniel Andrew Jablons,Sunny Sandler,Peggy Walton-Walker,Mo Gallini,Jackie Sandler,Betsy Sodaro,Cale Schultz,Paul Eliopoulos,Setaleki Manu,Tywayne Wheatt,Jackson Beals,Derek Russo,Otis Winston,Rebecca Covert,Reyn Doi,Josh Bolla,Lynne Ashe,Haley Leary,John Wesley Randall,Jemmi,Gigi Bermingham,John Winscher,Montrel Miller,Anthony Belevtsov,Zele Avradopoulos,Orelon Sidney,Tyieshia Rhodes,Jordan Foster,Brendin Brown"
2,Shadow Master,69,"Action,Fantasy,Thriller","D.Y. Sao,Layton Matthews,Brian Le,Craig Ng,Anna Harr,Luciana Faulhaber,Dominique Swain,Pearry Reginald Teo,Camilo González,Eric Gay Jr.,Morgan M. Younge,Dylan Walton,Dezzaray Stephens,Alex Farnham,Daniel Mah,Lucy Kate Akers,Dexter Haag,Jamie Harr,David Sanchez,Sophie Hytken,Jeremy Cosby,Edward S. Taylor,Kathy Apanewicz,Hugo Ramirez,Linville Calton,Rilie Conard,Mason Dunston,Dylan A. Blount,Soha T. Saiyed,Pierce Birdsong,Robert King,Wyatt Harris,Charles H. LaHaie,Xteon"
3,Bird Box Barcelona,61,"Thriller,Drama,Science Fiction,Horror","Mario Casas,Georgina Campbell,Diego Calva,Naila Schuberth,Alejandra Howard,Patrick Criado,Celia Freijeiro,Lola Dueñas,Gonzalo de Castro,Michelle Jenner,Leonardo Sbaraglia,Manel Llunell,Milo Taboada"
4,Mr. Car and the Knights Templar,64,Adventure,"Mateusz Janicki,Sandra Drzymalska,Olgierd Blecharz,Piotr Sega,Kalina Kowalczuk,Jacek Beler,Maria Dębska,Anna Dymna,Przemysław Bluszcz,Ewa Błaszczyk,Adam Ferency,Radosław Rożniecki,Eryk Pratsko,Juliusz Godzina,Krzysztof Ogonek,Szymon Kukla,Mateusz Łasowski,Kajetan Miros,Magdalena Majtyka,Krzysztof Satała,Andrzej Szubski,Joanna Król,Grzegorz Szypka,Anna Rokita,Michał Kasprzak-Komarczewski,Dariusz Maj,Mateusz Grydlik,Tomasz Augustynowicz,Igor Górewicz,Michał Petrow,Piotr Stefańczuk,India Maag,Aron Jończyk,Łukasz Lewandowski,Rafał Meusiak,Mariusz Majuch,Mila Majewska,Danuta Burska,Jan Niemczyk,Olga Żebrowska,Bożena Kulig-Fiallo,Jerzy Kornacki,Agata Sierakiewicz,Rafał Maj,Zbigniew Rowiński,Joanna Stępień,Kamil Płocki,Arturs Abramenko"
5,Evil Dead Rise,70,"Thriller,Horror","Lily Sullivan,Alyssa Sutherland,Morgan Davies,Gabrielle Echols,Nell Fisher,Anna-Maree Thomas,Mirabai Pease,Richard Crouchley,Jayden Daniels,Mark Mitchinson,Tai Wano,Billy Reynolds-McCarthy,Noah Paul,Melissa Xiao,Bruce Campbell"
6,Ant-Man and the Wasp: Quantumania,65,"Action,Adventure,Science Fiction","Paul Rudd,Evangeline Lilly,Jonathan Majors,Kathryn Newton,Michelle Pfeiffer,Michael Douglas,Corey Stoll,Bill Murray,William Jackson Harper,David Dastmalchian,Jamie Andrew Cutler,Katy O'Brian,Mark Weinman,Randall Park,Ross Mullan,Tom Clark,Leon Cooke,Nathan Blees,Durassie Kiangangu,Liran Nathan,Sam Symons,Grahame Fox,Nicola Peluso,Harrison Daniels,Brahmdeo Shannon Ramana,Russell Balogh,Leonardo Taiwo,Osian Roberts,Lucas Gerstel,Mia Gerstel,Tracy Jeffrey,Dinah Jeffrey,Judy Jeffrey,John Nayagam,Greta Nayagam,Cathy Chan,Adam Sai,Jamie Sai,Jakari Fraser,Patricia Belcher,Mark Oliver Everett,Ruben Rabasa,Melanie Garcia,Gregg Turkington,Sierra Katow,Ryan Bergara,Marielle Scott,Jake Millgard,Dey Young,Briza Covarrubias,Tess Aubert,David J. Castillo,Sir Cornwell,Alan Heitz,Esther McAuley,Aisling Mara Andreica,Milton Lopes,Roger Craig Smith,Matthew Wood,Loveday Smith,John Townsend,Tom Hiddleston,Owen Wilson,Abby Ryder Fortson"
7,Scream VI,72,"Horror,Thriller,Mystery","Melissa Barrera,Jenna Ortega,Jasmin Savoy Brown,Mason Gooding,Jack Champion,Roger Jackson,Liana Liberato,Dermot Mulroney,Devyn Nekoda,Josh Segarra,Hayden Panettiere,Henry Czerny,Tony Revolori,Skeet Ulrich,Samara Weaving,Courteney Cox,Matthew Giuffrida,Andre Anthony,Thomas Cadrot,Barry Morgan,Chanel Mings,Erika Prevost,Jesse Camacho,Jenna Wheeler-Hughes,Mizinga Mwinga,Céleste Dubé,André Bédard,Eric Davis,Lydia Zadel,Elizabeth Neale,Justin Johnson,Stephane Ishmael,Max Laferriere,Jack Quaid,Jason Cavalier,Thom Newell,Tim Robinson,Akiva Schaffer"
8,Sisu,75,"Action,War","Jorma Tommila,Aksel Hennie,Jack Doolan,Mimosa Willamo,Onni Tommila,Tatu Sinisalo,Arttu Kapulainen,Elina Saarela,Ilkka Koivula,Max Ovaska,Joel Hirvonen,Pekka Huotari,Severi Saarinen,Aamu Milonoff,Vincent Willestrand,Wilhelm Enckell,Joonas Brilli,Nicholas Francett,Kevin Francett,Eemeli Franssi,Jussi Kaila,Jarkko Klemetti,Henri Koljonen,Pekka Laakso,Martti Näätä Leinonen,Joosua Oja,Pietari Paappanen,Oskari Skyttä,Tomi Lampinen,Mila Leppälä,Jasmi Mäenpää,Nora Nevia,Jenna Tyni,Anssi-Pekka Fredriksson,Jarmo Hietamäki,Wellu Mikkonen,Akseli Hakovirta,Juho-Lauri Hakovirta,Iisko Hirvasvuopio,Sakari Maliniemi,Jukka Vuorela,Ari Joki,Nikita Makkojev,Jasmin Valjas,Linnea Vilppunen,Hannu Anttila,Mario Esposito,Tarmo Hassinen,Miia Heikkinen,Kimmo Henriksson,Arto Kairajärvi,Risto Korhonen,Mirva Korvala,Steven Madlin,Julia Malmsten,Annika Moisio,Kari Parkkinen,Tommi Pelkonen,Arto Peltomäki,Leena Sormunen,Pekka Virkkunen,Jukka Virtanen,Tinwelindon Belbog"
9,Confidential Informant,65,"Mystery,Thriller,Action","Jorma Tommila,Aksel Hennie,Jack Doolan,Mimosa Willamo,Onni Tommila,Tatu Sinisalo,Arttu Kapulainen,Elina Saarela,Ilkka Koivula,Max Ovaska,Joel Hirvonen,Pekka Huotari,Severi Saarinen,Aamu Milonoff,Vincent Willestrand,Wilhelm Enckell,Joonas Brilli,Nicholas Francett,Kevin Francett,Eemeli Franssi,Jussi Kaila,Jarkko Klemetti,Henri Koljonen,Pekka Laakso,Martti Näätä Leinonen,Joosua Oja,Pietari Paappanen,Oskari Skyttä,Tomi Lampinen,Mila Leppälä,Jasmi Mäenpää,Nora Nevia,Jenna Tyni,Anssi-Pekka Fredriksson,Jarmo Hietamäki,Wellu Mikkonen,Akseli Hakovirta,Juho-Lauri Hakovirta,Iisko Hirvasvuopio,Sakari Maliniemi,Jukka Vuorela,Ari Joki,Nikita Makkojev,Jasmin Valjas,Linnea Vilppunen,Hannu Anttila,Mario Esposito,Tarmo Hassinen,Miia Heikkinen,Kimmo Henriksson,Arto Kairajärvi,Risto Korhonen,Mirva Korvala,Steven Madlin,Julia Malmsten,Annika Moisio,Kari Parkkinen,Tommi Pelkonen,Arto Peltomäki,Leena Sormunen,Pekka Virkkunen,Jukka Virtanen,Tinwelindon Belbog"
10,Fresh,70,"Horror,Thriller,Comedy","Daisy Edgar-Jones,Sebastian Stan,Jojo T. Gibbs,Andrea Bang,Dayo Okeniyi,Charlotte Le Bon,Brett Dier,Alina Maris,William Belleau,Lachlan Quarmby,Sunghee Lapell,Arghavan Jenati,Anthony Ingram,Frances Leigh,Lance Birley,Joe Costa,Larry Hoe,Scott McGrath,Robert Corness"
11,A Good Day to Die Hard,53,"Action,Thriller","Bruce Willis,Jai Courtney,Sebastian Koch,Mary Elizabeth Winstead,Yuliya Snigir,Cole Hauser,Radivoje Bukvić,Amaury Nolasco,Sergey Kolesnikov,Roman Luknár,Zolee Ganxsta,Péter Takátsy,Pasha D. Lychnikoff,Megalyn Echikunwoke,Melissa Tang,Attila Árpa,Norbert Növényi,Martin Hindy,Rico Simonini,Aldis Hodge,April Grace,Anne Vyalitsyna"
12,Mortal Kombat Legends: Scorpion's Revenge,82,"Animation,Action,Fantasy","Patrick Seitz,Jordan Rodrigues,Jennifer Carpenter,Joel McHale,Ike Amadi,Steve Blum,Artt Butler,Darin De Paul,Robin Atkin Downes,Grey DeLisle,Dave B. Mitchell,Kevin Michael Richardson,Fred Tatasciore"
13,Black Adam,70,"Action,Adventure,Science Fiction","Dwayne Johnson,Aldis Hodge,Noah Centineo,Sarah Shahi,Quintessa Swindell,Marwan Kenzari,Mo Amer,Bodhi Sabongui,Pierce Brosnan,James Cusati-Moyer,Jalon Christian,Benjamin Patterson,Odelya Halevi,Uli Latukefu,Jennifer Holland,Henry Winkler,Chaim Jeraffi,Sharon Gee,Stephan Jones,A. Manuel Miranda,Djimon Hounsou,Raj Kala,E. Lloyd Napier,Kiara Rashawn,Onye Eme-Akwari,Sanna Erica,Vince Canlas,Tonea Stewart,Meghna Nagarajan,Patrick Sabongui,Alex Parkinson,Joseph Gatt,Kamen Casey,Dennis Dawson,Mike Senior,Jermaine Rivers,Regina Ting Chen,Sekou Laidlow,Cameron Moir,Donny Carrington,Boone Platt,Philip Fornah,Derek Russo,Angel Rosario Jr.,Tang Nguyen,Christopher Matthew Cook,Natasha Ellie,Daniel Danca,Yssa Mei Panganiban,Ben Jenkin,Viola Davis,Henry Cavill,Natalie Burn,Maurice T. Johnson,Tre Ryan"
14,Little Bone Lodge,74,"Horror,Crime,Thriller","Joely Richardson,Sadie Soverall,Neil Linpow,Harry Cadby,Roger Ajogbe,Euan Bennet,Cameron Jack,Sharon Young,Clifford Samuel"
