,Movie_title,user_rating,Genres,Cast
0,GANTZ:O,73,"Science Fiction,Action,Animation","Yuki Kaji,Daisuke Ono,Saori Hayami,Mao Ichimichi,Masaya Onosaka,Kenjiro Tsuda,Shuichi Ikeda,Teruaki Ogawa,Tomohiro Kaku,Masane Tsukayama"
1,Encanto,76,"Animation,Comedy,Family,Fantasy","Stephanie Beatriz,María Cecilia Botero,John Leguizamo,Mauro Castillo,Jessica Darrow,Angie Cepeda,Carolina Gaitán,Diane Guerrero,Wilmer Valderrama,Rhenzy Feliz,Ravi Cabot-Conyers,Adassa,Maluma,Rose Portillo,Juan Castano,Sarah-Nicole Robles,Hector Elias,Alan Tudyk,Olga Merediz,Noemi Josefina Flores"
2,The Wrath of Becky,67,"Action,Horror,Thriller","Lulu Wilson,Seann William Scott,Denise Burse,Jill Larson,Michael Sirow,Aaron Dalla Villa,Matt Angel,Courtney Gains,Alison Cimmet,Derek Gaines,John D. Hickman,Kate Siegel,Zoie Morris"
3,Oink,78,"Animation,Family,Comedy","Hiba Ghafry,Kees Prins,Jelka van Houten,Henry van Loon,Matsen Montsma,Loes Luca,Johnny Kraaijkamp Jr.,Alex Klaasen,Remko Vrijdag,Tosca Menten,Fockeline Ouwerkerk"
4,Shazam! Fury of the Gods,67,"Comedy,Action,Fantasy","Zachary Levi,Asher Angel,Jack Dylan Grazer,Rachel Zegler,Adam Brody,Ross Butler,D.J. Cotrona,Grace Caroline Currey,Meagan Good,Lucy Liu,Djimon Hounsou,Helen Mirren,Faithe Herman,Ian Chen,Jovan Armand,Marta Milans,Cooper Andrews,Rizwan Manji,P.J. Byrne,Diedrich Bader,David Lengel,Rick Andosca,Erica Frene,Lotta Losten,Natalia Safran,Hillary Harley,Lou Lou Safran,Tara Jones,Edward Force,Milli M.,Carson MacCormac,Evan Marsh,Taylor Cahill,Sebrena Sumrah-Kelly,Wolf Blitzer,Michael Beasley,Robert Walker Branchaud,Jessica Fontaine,Aaliyah Luu,Bonnie Discepolo,Michael Gray,F. Douglas Hall II,Patrick Reidy,Kelvin Hodge,Chloe Camp,Gal Gadot,Jennifer Holland,Steve Agee,David F. Sandberg,Mark Strong"
5,My House,56,"Drama,Mystery,Thriller,Horror","Francis Magee,Mirren Mack,Aki Omoshaybi,Michelle Collins,Kaisa Hammarlund,Nigel Hastings,Muki Zubis,Macadie Amoroso,Dominic Gilday,Justin Marosa"
6,Deep Sea,73,"Animation,Adventure,Fantasy,Science Fiction","Wang Ting Wen,Su Xin,Kuixing Teng,Yang Ting,Ji Jing,Haoran Guo,Tian Xiao Peng,Fang Taochen,Yi Dong"
7,Mortal Kombat Legends: Battle of the Realms,77,"Animation,Action,Fantasy","Jordan Rodrigues,Jennifer Carpenter,Joel McHale,Patrick Seitz,Dave B. Mitchell,Bayardo De Murguia,Fred Tatasciore,Matthew Mercer,Emily O'Brien,Debra Wilson,Artt Butler,Robin Atkin Downes,Ike Amadi,Grey DeLisle,Matthew Yang King,Paul Nakauchi,Matthew Lillard,Kyle Wyatt"
8,Spider-Man: No Way Home,80,"Action,Adventure,Science Fiction","Tom Holland,Zendaya,Benedict Cumberbatch,Jacob Batalon,Jon Favreau,Jamie Foxx,Willem Dafoe,Alfred Molina,Benedict Wong,Tony Revolori,Marisa Tomei,Andrew Garfield,Tobey Maguire,Angourie Rice,Arian Moayed,Paula Newsome,Hannibal Buress,Martin Starr,J.B. Smoove,J.K. Simmons,Rhys Ifans,Charlie Cox,Thomas Haden Church,Emily Fong,Mary Rivera,Rudy Eisenzopf,Kathleen Cardoso,Jonathan Sam,Andrew Dunlap,Ben VanderMey,Zany Dunlap,B. Clutch Dunlap,Minnah Dunlap,Gary Weeks,Gregory Konow,Carol Anne Dines,Anisa Nyell Johnson,Willie Burton,Mallory Hoff,Greg Clarkson,Regina Ting Chen,Robert Mitchel Owenby,Glenn Keogh,Paris Benjamin,Jwaundace Candece,Taylor St. Clair,Gabriella Cila,Darnell Appling,Rolando Fernandez,Edward Force,Michael Le,Dean Meminger,Frederick A. Brown,Cristo Fernández,Clay Savage,Tom Hardy,Jake Gyllenhaal,Jay Karales,Gina Aponte,John Barnes,Harry Holland"
9,Cold Eyes,75,"Adventure,Crime,Action,Thriller","Jung Woo-sung,Sol Kyung-gu,Han Hyo-joo,Jin Kyung,Lee Jun-ho,Lee Dong-hwi,Byun Yo-han,Son Min-seok,Jang Won-hyung,Kim Ji-hoon,Lee Hyun-kyun,Lee Hwa-Jung,Lee Tae-hyeong,Yoon Don-sun,Kim Byeong-ok,Enes Kaya,Park Chung-hwan,Kang Jun-seok,Simon Yam,Byeon Woo-jong,Kang Shin-Ha,Seo Suk-Kyu,Park Ji-yeon"
