,Movie_title,user_rating,Genres,Cast
10,Fast X,73,"Action,Crime,Thriller","Vin Diesel,Michelle Rodriguez,Tyrese Gibson,Ludacris,John Cena,Nathalie Emmanuel,Jordana Brewster,Sung Kang,Jason Momoa,Scott Eastwood,Daniela Melchior,Alan Ritchson,Helen Mirren,Brie Larson,Jason Statham,Charlize Theron,Rita Moreno,Joaquim de Almeida,Leo A. Perry,Luis Da Silva Jr.,Jaz Hutchins,Luka Hays,Alexander Capon,Pete Davidson,Shadrach Agozino,Ludmilla,Miraj Grbić,Meadow Walker Thornton-Allan,Michael Irby,Shahir Figueira,Ben-Hur Santos,Debby Ryan,Josh Dun,Dwayne Johnson,Gal Gadot,Paul Walker,Ali Baddou"
11,Zom 100: Bucket List of the Dead,66,"Comedy,Horror,Action","Eiji Akaso,Mai Shiraishi,Shuntaro Yanagi,Kazuki Kitamura,Yui Ichikawa,Mayo Kawasaki,Akari Hayami,Yo Takahashi,Miwako Kakei,Kurumi Nakata,Doronzu Ishimoto,Mukau Nakamura,Shota Taniguchi,Reira Arai,Seijun Nobukawa,Jin Hisa,Tani Tehito,Daiki Miyagi,Haruhi Ito,Yuna Ogura,Kenta Satoi"
12,River Wild,65,"Mystery,Thriller,Adventure","Eiji Akaso,Mai Shiraishi,Shuntaro Yanagi,Kazuki Kitamura,Yui Ichikawa,Mayo Kawasaki,Akari Hayami,Yo Takahashi,Miwako Kakei,Kurumi Nakata,Doronzu Ishimoto,Mukau Nakamura,Shota Taniguchi,Reira Arai,Seijun Nobukawa,Jin Hisa,Tani Tehito,Daiki Miyagi,Haruhi Ito,Yuna Ogura,Kenta Satoi"
13,Resident Evil: Death Island,77,"Animation,Action,Horror","Matthew Mercer,Kevin Dorman,Erin Cahill,Nicole Tompkins,Stephanie Panisello,Salli Saffioti,Cristina Valenzuela,Daman Mills,Frank Todaro,Lucien Dodge,Isaac Robinson-Smith,Alejandro Saab,Bob Carter,Bill Butts,Ananda Dawn Jacobs,Dawn M. Bennett,Joe Hernandez,John Bentley,Kenta Nitta,Keren Louis,Kim Gasiciel,Masaaki Sasaki,Momotaro Sakae,Runa Kitanoe,Ryan Colt Levy,Ryuhei Higashiyama,Takahiro Yoneoka,Tiana Camacho,Zeke Alton,Luis E. Bermudez"
14,Guardians of the Galaxy Vol. 3,81,"Science Fiction,Adventure,Action","Chris Pratt,Zoe Saldaña,Dave Bautista,Karen Gillan,Pom Klementieff,Vin Diesel,Bradley Cooper,Sean Gunn,Chukwudi Iwuji,Will Poulter,Maria Bakalova,Elizabeth Debicki,Sylvester Stallone,Austin Freeman,Stephen Blackehart,Terence Rosemore,Sarah Alami,Jasmine Munoz,Giovannie Cruz,Nico Santos,Miriam Shor,Noa Raskin,Linda Cardellini,Asim Chaudhry,Mikaela Hoover,Judy Greer,Reinaldo Faberlle,Tara Strong,Jared Leland Gore,Michael Rosenbaum,Elan Gale,Molly C. Quinn,Gerardo Davila,Dee Bradley Baker,Hanna Pak,Jennifer Holland,Nathan Fillion,Kyle Mclean,Benjamin Byron Davis,Tiffany Smith,Joe Daru,Daniela Melchior,Jonathan Mercedes,Jonathan Fritschi,Diego Ward,Max Bickelhaup,Brandon Morales,Renae Moneymaker,Alexis Hadesty,Tara Warren,Candi VandiZandi,Grecia Balboa,Caleb Spillyards,Darla Delgado,Michelle Civile,Ken Lyle,Elodie Clarke,John William Wright,Autumn Griffin,Skylar Huntley,Randy Havens,Dane DiLiegro,Kai Zen,Sarah Anne,Yael Ocasio,Adelynn Spoon,Henry Heffernan,Brooklyn Skye Oliver,Scarlett Blum,Baby Dro,Emery Grilliot,Amelia Waters,Lloyd Kaufman,Seth Green,Christopher Fairbank,Rhett Miller,Natalia Safran,Murphy Weed,Michael Rooker,James Gunn,Pete Davidson,Jessica Fontaine,Karen Abercrombie,Gregg Henry,Adriana Leonard,Bonnie Discepolo,Clare Grant,Grace Gunn,Will Gunn"
15,Head to Head,69,"Comedy,Thriller,Action","Abdulaziz Alshehri,Ziyad Alamri,Adel Radwan,Mohammad Alqass,Ida Alkusay,Hesham Alhosawi,Ahmed Kaabi,Saleh Alkhalaqi,Riad Alsalhani,Saufakhaq Tabnjeh,Nawaf Alsulaiman,Fahad Alowaymir,Khalid Almjaiwil"
16,"Miraculous: Ladybug & Cat Noir, The Movie",79,"Animation,Family,Action,Fantasy,Romance","Annouck Hautbois,Benjamin Bollen,Fanny Bloc,Alexandre N'Guyen,Antoine Tomé,Marie Chevalot,Marie Nonnenmacher,Martial Le Minoux,Flora Kaprielian,Franck Tordjman,Gilbert Lévy,Jeanne Chartier,Jessie Lambotte,Thierry Kazazian,Lauren Amante"
17,"Ruby Gillman, Teenage Kraken",76,"Animation,Family,Fantasy,Comedy","Lana Condor,Toni Collette,Annie Murphy,Sam Richardson,Liza Koshy,Will Forte,Colman Domingo,Jaboukie Young-White,Blue Chapman,Ramona Young,Eduardo Franco,Jane Fonda,Nicole Byer,Echo Kellum,Brianna Arsement,Juju Green,Preston Arsement,Jordan Matter,Ricardo Hurtado,Randy Thom,Tiffany Wu,Merk Nguyen,Sydney Bell,Atticus Shaindlin,Lynnanne Zager,Karen Foster,Caleb Pierce,Qalil Ismail,Suzanne Buirgy,Emma Chamberlain"
18,No Hard Feelings,70,"Comedy,Romance","Jennifer Lawrence,Andrew Barth Feldman,Laura Benanti,Matthew Broderick,Natalie Morales,Scott MacArthur,Ebon Moss-Bachrach,Kyle Mooney,Hasan Minhaj,Jordan Mendoza,Amalia Yoo,Alysia Joy Powell,Quincy Dunn-Baker,Matthew Noszka,Zahn McClarnon,Madison Odenborg,Christian Galvis,Matt Walton,Christina Catechis,Christopher Bailey,Eason Rytter,Abigail Hupp,Achi Miller,Jacob Augustin,Brendan Kispert,Ethan Metz,Alaina Surgener,Sejal Joshi,Victor Verhaeghe,Kelley Rae O'Donnell,Katie Johantgen,Ari Frenkel,Luca Padovan,John DeMari,Grant Harrison Mateo,Madison McBride,Ben Heideman,Julia DeMoura Braine,Sophie Tananbaum,Melissa Lehman,Isabelle Fisher,Roman Caposino,Brian Calì,Leo Easton Kelly,Darren Valinotti,Alex Tomais,Earl Rose"
19,Fear the Night,67,"Action,Thriller","Maggie Q,Kat Foster,Travis Hammer,Gia Crovatin,Brenda Meaney,Ito Aghayere,Kirstin Leigh,Highdee Kuan,KeiLyn Durrel Jones,Roshni Shukla,Ray Siegle,Philip Burke,Laith Wallschleger,James Carpinello,Ray Nicholson,Geoff Pierson,William Roth,Treisa Gary,Christopher Corbin,Jack Mikesell"
