,Movie_title,user_rating,Genres,Cast
0,Sound of Freedom,82,"Action,Drama","Jim Caviezel,Mira Sorvino,Bill Camp,Kurt Fuller,Gerardo Taracena,José Zúñiga,Scott Haze,Gary Basaraba,Eduardo Verástegui,Manny Pérez,Gustavo Sánchez Parra,Javier Godino,James Quattrochi,Eduardo Gomez Monteverde,Gustavo Angarita Jr.,Ariel Sierra,Kris Avedisian,Alejandro Muela,Jaime Newball,Yessica Borroto Perryman,Cristal Aparicio,Lucas Ávila,Samuel Livingston,Valerie Domínguez,Jairo Ordóñez"
1,Puss in Boots: The Last Wish,83,"Animation,Family,Fantasy,Adventure,Comedy,Action","Antonio Banderas,Salma Hayek Pinault,Harvey Guillén,Wagner Moura,Florence Pugh,Olivia Colman,Ray Winstone,Samson Kayo,John Mulaney,Da'Vine Joy Randolph,Anthony Mendez,Kevin McCann,Bernardo de Paula,Betsy Sodaro,Artemis Pebdani,Conrad Vernon,Cody Cameron,Kailey Crawford,Al Rodrigo,Bob Persichetti,Miguel Matrai,Pilar Uribe,Heidi Gardner,Joel Crawford,Januel Mercado,James Ryan,Natalia Cronembold,Paul Fisher,Aydrea Walden"
2,San Andreas,62,"Action,Drama,Thriller","Dwayne Johnson,Alexandra Daddario,Carla Gugino,Ioan Gruffudd,Archie Panjabi,Paul Giamatti,Hugo Johnstone-Burt,Art Parkinson,Will Yun Lee,Kylie Minogue,Colton Haynes,Todd Williams,Matt Gerald,Alec Utgoff,Marissa Neitling,Morgan Griffin,Breanne Hill,Laurence Coy,Fiona Press,Dennis Coard,Ben McIvor,Nick Allen-Ducat,Claire Lovering,Sophia Emberson-Bain,Julian Shaw,Sofie Formica,Julie Brandt-Richards,Hugh Boddam-Whetham,Brad McMurray,John Reynolds,Simone Kessell,Saskia Williscroft,Arabella Morton,Hayley Sullivan,Renee Somerfield,Joey Vieira,Benjamin Blankenship,Barry Southgate,Nikki Green,Calum Grant,Eduardo Ambriz DeColosio,Michael Asberry,Teirrah McNair,Michael Yamaguchi,AnnaCorey,Stephen Chang,Hayley Gagner,Stephanie Johnston,Tom O'Reilly,Vanessa Ross,Andrea Walker,Allan Poppleton"
3,Zoey 102,70,"Romance,Comedy","Jamie Lynn Spears,Sean Flynn,Erin Sanders,Christopher Massey,Matthew Underwood,Abby Wilde,Dean Geyer,Owen Thiele,Jack Salvatore, Jr.,Zach Zagoria,Bianka Kureti,Thomas Lennon,Lynn Wanlass,Carrie Stauber,Audrey Whitby,Soma Bhatia,Troy Doherty,Patricia Williams,Byron Mitchell Wigfall,Katelynn Bennett,Anthony Paul Imes,Sebastian Serra,Rafael Miguel,Shua Jackson,Christian A. Pierce,Zebretta,Fiona Domenica,Tamil Periasamy,Orion Carrington,Neala Cohen,Ole B. Goode,Curtia Torbert,Monica Sherer,Madeline Whitby,Maddie Watson,Adam Murray,Andrew Moffatt,Austin Crowder,Ivey Joan Watson,Mike Talplacido,Tom Fonss,Brent Rivera,Adam Waheed,Alan Perry,Maurice LaMarche"
4,Extraction 2,75,"Action,Thriller","Chris Hemsworth,Golshifteh Farahani,Adam Bessa,Tornike Gogrichiani,Tornike Bziava,Tinatin Dalakishvili,Andro Japaridze,Justin Howell,Idris Elba,Olga Kurylenko,Sinéad Phelps,Patrick Newall,Daniel Bernhardt,Levan Saginashvili,George Lasha,Sam Hargrave,Miriam Kovziashvili,Marta Kovziashvili,Demetre Kavelashvili,Giga Shavadze,Dato Bakhtadze,Davit Chogovadze,Irakli Kvirikadze,Paul Maynard,Héctor Andreu,Tite Komakhidze"
5,Hypnotic,65,"Mystery,Thriller,Science Fiction","Ben Affleck,Alice Braga,J. D. Pardo,Dayo Okeniyi,Jeff Fahey,Jackie Earle Haley,William Fichtner,Zane Holtz,Ruben Javier Caballero,Kelly Frye,Sandy Avila,Ryan Ryusaki,Hala Finley,Ionie Olivia Nieves,Corina Calderon,Nikki Dixon,Bonnie Discepolo,Kelly Phelan,Evan Vines,Patrick A. Grover,Jordan Hunter Jones,Justin Hall,Lawrence Varnado,Natalie D. Garcia,Carrick O'Quinn,Derek Russo,Steve Brudniak,Camila Téllez,Dana Wing Lau,Jose Barajas,Sonia Izzolena,Bobby Hernandez,Gabriel 'G-Rod' Rodriguez,Georgia Foy"
6,One Piece Film Red,74,"Animation,Adventure,Action,Fantasy","Kaori Nazuka,Shuichi Ikeda,Mayumi Tanaka,Kazuya Nakai,Akemi Okamura,Kappei Yamaguchi,Hiroaki Hirata,Ikue Otani,Yuriko Yamaguchi,Kazuki Yao,Cho,Katsuhisa Houki,Kenjiro Tsuda,Yuki Yamada,Soshina,Seiya,Chise Niitsu,Yuki Kaji,Houko Kuwashima,Aruno Tahara,Jin Domon,Michitaka Kobayashi,Kenichi Ono,Bin Shimada,Issei Futamata,Hikaru Midorikawa,Jouji Nakata,Shiro Saito,Hiroshi Kamiya,Yasuhiro Takato,Reina Ueda,Showtaro Morikubo,Mika Doi,Kouichi Nagano,Koutarou  Nakamura,Shinichiro Ohta,Ikuya Sawaki,Ryotaro Okiayu,Fumihiko Tachiki,Tomokazu Seki,Seiji Sasaki,Kumiko Watanabe,Naomi Shindo,Keiichi Noda,Masato Hirano,Kenichi Ogata,Yasunori Masutani,Mami Koyama,Tomokazu Sugita,Masafumi Kimura,Yuko Mita,Yuuya Uchida,Mahito Ōba,Ado"
7,Astonishing Tales of Terror: Rocktapussy!,60,"Horror,Comedy,Fantasy","Brigitte Kingsley,Landy Cannon,Patrick Kwok-Choon,Troy Blundell,Alys Crocker,Andrew Cymek,Sara Mitich,David Calderisi,Winny Clarke,Connor Rueter,Neil Whitely,Art Hindle"
8,Guy Ritchie's The Covenant,78,"War,Action,Thriller","Jake Gyllenhaal,Dar Salim,Antony Starr,Alexander Ludwig,Jonny Lee Miller,Emily Beecham,Jason Wong,Bobby Schofield,Sina Parvaneh,Sean Sagar,James Nelson-Joyce,Reza Diako,Abbas Fasaei,Swen Temmel,Rhys Yates,Ash Goldeh,Marcel Zadé,Christian Ochoa,Hadi Khanjanpour,Gary Anthony Stennette,Fariba Sheikhan,Damon Zolfaghari,Javier Ramos,Kawa Mawlayee,Altamasch Noor,Javid Hakim,Mo Ahmadi,Cyrus Khodaveisi,Paeman Arianfar,Shoaib Lodin"
9,The Black Demon,63,"Horror,Thriller","Josh Lucas,Fernanda Urrejola,Julio Cedillo,Venus Ariel,Carlos Solórzano,Jorge A. Jimenez,Raúl Méndez,Héctor Jiménez,Edgar Flores,Omar Chaparro,Bolivar Sanchez,Omar Patin,Luis del Valle"
10,The Pope's Exorcist,72,"Horror,Thriller","Russell Crowe,Daniel Zovatto,Alex Essoe,Franco Nero,Peter DeSouza-Feighoney,Laurel Marsden,Cornell John,Ryan O'Grady,Bianca Bardoe,Santi Bayón,Paloma Bloyd,Alessandro Gruttadauria,River Hawkins,Jordi Collet,Carrie Munro,Marc Velasco,Edward Harper-Jones,Matthew Sim,Victor Solé,Tom Bonington,Andrea Dugoni,Ed White,Laila Barwick,Gennaro Diana,Pablo Raybould,Ralph Ineson,Derek Carroll,Ella Cannon"
11,My Fault,82,"Romance,Drama","Nicole Wallace,Gabriel Guevara,Marta Hazas,Iván Sánchez,Eva Ruiz,Víctor Varona,Fran Berenguer,Adriana Ubani,Iván Massagué,Mariano Venancio,Jaime Ordóñez,Jaime Gutiérrez,Anastasia Russo,Noah Casas,Daniel Martínez,Pablo Riguero,Eve Ryan,Lucas Nabor,Antonio Hernandez Fimia,Paloma Catalán,Rocío Peláez,Jon Rod,Mariano Andres,Jonatan Ruiz,Mónica Caballero,Alvaro Navarro"
12,Bite Night,80,"Horror,Mystery","Nicole Wallace,Gabriel Guevara,Marta Hazas,Iván Sánchez,Eva Ruiz,Víctor Varona,Fran Berenguer,Adriana Ubani,Iván Massagué,Mariano Venancio,Jaime Ordóñez,Jaime Gutiérrez,Anastasia Russo,Noah Casas,Daniel Martínez,Pablo Riguero,Eve Ryan,Lucas Nabor,Antonio Hernandez Fimia,Paloma Catalán,Rocío Peláez,Jon Rod,Mariano Andres,Jonatan Ruiz,Mónica Caballero,Alvaro Navarro"
13,War of the Worlds: The Attack,55,"Science Fiction,Mystery,Thriller","Sam Gittins,Vincent Regan,Lara Lemon,Alhaji Fofana,Leo Staar,Kathi deCouto,Stefan Boehm,Frances Mather,Fredi 'Kruga' Nwaka,Kris Saddler,Rosie Steel,Darren Tassell,Chris Bouchard,Jim Page,Sophie Bullock,Julian Clapton,Linda Dootson,Lee Nicholas Harris,Lucy Lewendon,Martyn Mayger,Andreina Sambucetti"
14,The Seven Deadly Sins: Grudge of Edinburgh Part 2,87,"Action,Adventure,Fantasy,Animation","Ayumu Murase,Koki Uchiyama,Yuki Kaji,Sora Amamiya,Tatsuhisa Suzuki,Aoi Yuki,Jun Fukuyama,Yuuhei Takagi,Yūya Uchida,Sachi Kokuryu,Marina Inoue,Yohei Azakami,Kazuyuki Okitsu"
15,The Conjuring: The Devil Made Me Do It,75,"Horror,Mystery,Thriller","Patrick Wilson,Vera Farmiga,Ruairí O'Connor,Sarah Catherine Hook,Julian Hilliard,John Noble,Eugenie Bondurant,Shannon Kook,Ronnie Gene Blevins,Keith Arthur Bolden,Steve Coulter,Vince Pisani,Charlene Amoia,Megan Ashley Brown,Sterling Jerins,Andrea Andrade,Mitchell Hoog,Ashley LeConte Campbell,Davis Osborne,Paul Wilson,Mark Rowe,Stella Doyle,Ingrid Bisu,Stacy Johnson,Lindsay Ayliffe,Nicky Buggs,Rebecca Lines,Robert Walker Branchaud,Nicholas Massouh,Chris Greene,Kaleka,Fabio William"
16,The Darkest Minds,70,"Action,Adventure,Drama","Amandla Stenberg,Harris Dickinson,Patrick Gibson,Skylan Brooks,Mandy Moore,Miya Cech,Gwendoline Christie,Grace DeAmicis,Faye Foley,Mark O'Brien,Wallace Langham,Golden Brooks,Sammi Rotibi,McCarrie McCausland,Logan Siu,Ethan Alexander McGee,Lidya Jewett,Bradley Whitford,Wade Williams,Drew Scheid,Larkin Campbell,Devon Sorvari,Peyton Wich,Carson Holmes,Déjá Dee,Morgan Gao,Izabella Dzmitryieu,Bruce Blackshear,Berglind Jonsdottir,Catherine Dyer,Charles Green,Allie McCulloch,Shannon Mosley,Darren Alford,Kaleigh Rivera,Makenzie Collier,Skyler Semien,DeVyne Agapito,Desi-Ray Morris,Brooke Bowe,Bernard Bell,Alannah Wilhite,Brennen Wiley,Bryce Speaker,Ahmed Zakzouk,Cynne Simpson,Gino LaMont,John Crow,Gage Lawson,Katie Hubbard,Morgan Marie,Nate Seman,Camden Haydon"
17,"Red, White & Royal Blue",85,"Comedy,Romance","Taylor Zakhar Perez,Nicholas Galitzine,Uma Thurman,Clifton Collins Jr.,Rachel Hilson,Sarah Shahi,Donald Sage Mackay,Aneesh Sheth,Stephen Fry,Ellie Bamber,Thomas Flynn,Malcolm Atobrah,Akshay Khanna,Bridget Benstead,Gaia Mondadori,Juan Castano,Polo Morín,Ahmed Elhaj,Sharon D. Clarke,Michael Ayala-Cole,Helen Minassian,Isabelle Suwan,Ben-Hur Santos,Charles Nishikawa,Robert William Carlisle,Gabi Kerr,Gabriella Fanuele,Georgie Fellows,Martin Bishop,John King,Jonny Lee Kemp,Enver Mehmet,Monsurat Bello,Rachel Maddow,Hughie Mann,Karina Núñez,Derek Siow,Valter Almeida,Reynold Koker,Roy Harrop,Joy Reid,Kathryn López,Frank Lopez,Brandon Clarke,Lila Bata-Walsh,Khushboo Hirani,Nathan Musoki,Brian Naylor,Kaya Brown-Hallam,Rita Estevanovich,Miranda Heldt,Annabelle King,Claire Ashton,Anastasia Zabarchuk,Miruna-Bianca Teodoru,Alice Raymond,Juan Sebastián Quintero,Sigmund Oakeshott,Casey McQuiston,Denisa Jahlová,Valerie Hazan,Stuart Cooke,Sean Coleman,Lindy Hennessy,Prince Marfo,Caroline Glass,Andro Cowperthwaite,Nathan Hall,Aleshia Williams,Josh Wild,Amira Walters-Byrne,Destiny Viva,Samara Tong,Amy Tomlinson,Mackenzie Stretch,Tyson Simon,Irene Salvi,Marcus St. Cyr,Julia Ruiz,Troy Rochester,Elise Pinel,Robbie Ordona,Ronke Olagunju,Bettie Moon,Tom Mather,Mira Jebari,Emi Ichikawa,Bethany Hunter,Nicole Hastings,Kamilla Halid,Jamie Graham,Marlie Goddard,Jakub Franasowicz,Kyle Flaherty,Emma Farnell-Watson,Davide Albonetti,Olive Andrews,Miekaile Browne,Harrison Claxton,Cam,Jemma Redgrave,Emma Falcon"
18,Megalodon,57,"Action,Science Fiction,Horror,TV Movie","Michael Madsen,Scott C. Roe,Ego Mikitas,Paulina Nguyen,Dominic Pace,Aimee Stolte,Daniel Joo,Caroline Harris,Luke Fattorusso,Dimitry Rozental,Philip Nathanael,Sébastien Charmant,Elizabeth J. Cron,Mario Rocha"
19,Insidious: The Last Key,63,"Horror,Mystery,Thriller","Lin Shaye,Leigh Whannell,Angus Sampson,Kirk Acevedo,Caitlin Gerard,Spencer Locke,Josh Stewart,Tessa Ferrer,Aleque Reid,Ava Kolker,Pierce Pope,Bruce Davison,Javier Botet,Marcus Henderson,Amanda Jaros,Judith Drake,Hana Hayes,Thomas Robie,Josh Wingate,Danielle Kennedy,Melanie Gaydos,Ty Simpkins,Rose Byrne,Patrick Wilson,Stefanie Scott,Barbara Hershey,Joseph Bishara,Danielle Bisutti,Brynn Bowie,Madison Bowie,Lubella Gauna,Zahra Susan Ingersoll,Paul LeClair,Craig Reed"
