,Movie_title,user_rating,Genres,Cast
0,Shin Kamen Rider,73,"Action,Adventure,Drama,Fantasy,Science Fiction","Sosuke Ikematsu,Minami Hamabe,Tasuku Emoto,Mirai Moriyama,Nanase Nishino,Toru Tezuka,Nao Omori,Kanata Hongo,Masami Nagasawa,Tori Matsuzaka,Shinya Tsukamoto,Yutaka Takenouchi,Takumi Saitoh,Suzuki Matsuo,Toru Nakamura,Mikako Ichikawa,Ken Yasuda,Shuhei Uesugi"
1,Justice League: Warworld,74,"Animation,Action,Science Fiction,Adventure,Fantasy","Jensen Ackles,Darren Criss,Stana Katic,Ike Amadi,Troy Baker,Matt Bomer,Roger Cross,Brett Dalton,Trevor Devall,John DiMaggio,Robin Atkin Downes,Frank Grillo,Rachel Kimsey,David Lodge,Damian O'Hare,Teddy Sears,Kari Wahlgren"
2,The Super Mario Bros. Movie,78,"Animation,Family,Adventure,Fantasy,Comedy","Chris Pratt,Anya Taylor-Joy,Charlie Day,Jack Black,Keegan-Michael Key,Seth Rogen,Fred Armisen,Sebastian Maniscalco,Charles Martinet,Kevin Michael Richardson,Khary Payton,Rino Romano,John DiMaggio,Jessica DiCicco,Eric Bauza,Juliet Jelenic,Scott Menville,Carlos Alazraqui,Jason Broad,Ashly Burch,Rachel Butera,Cathy Cavadini,Will Collyer,Django Craig,Willow Geer,Aaron Hendry,Andy Hirsch,Barbara Harris,Phil LaMarr,Jeremy Maxwell,Daniel Mora,Eric Osmond,Noreen Reardon,Lee Shorten,Cree Summer,Nisa Ward,Nora Wyman"
3,John Wick: Chapter 4,78,"Action,Thriller,Crime","Keanu Reeves,Donnie Yen,Bill Skarsgård,Ian McShane,Laurence Fishburne,Lance Reddick,Clancy Brown,Hiroyuki Sanada,Rina Sawayama,Scott Adkins,Aimée Kwan,Marko Zaror,Natalia Tena,Shamier Anderson,George Georgiou,Yoshinori Tashiro,Hiroki Sumi,Daiki Suzuki,Julia Asuka Riedl,Milena Rendón,Ivy Quainoo,Irina Trifanov,Iryna Fedorova,Andrej Kaminsky,Sven Marquardt,Raicho Vasilev,Marie Pierra Kakoma,Gina Aponte,Christoph Hofmann"
4,Warhorse One,72,"Action,Drama,War","Keanu Reeves,Donnie Yen,Bill Skarsgård,Ian McShane,Laurence Fishburne,Lance Reddick,Clancy Brown,Hiroyuki Sanada,Rina Sawayama,Scott Adkins,Aimée Kwan,Marko Zaror,Natalia Tena,Shamier Anderson,George Georgiou,Yoshinori Tashiro,Hiroki Sumi,Daiki Suzuki,Julia Asuka Riedl,Milena Rendón,Ivy Quainoo,Irina Trifanov,Iryna Fedorova,Andrej Kaminsky,Sven Marquardt,Raicho Vasilev,Marie Pierra Kakoma,Gina Aponte,Christoph Hofmann"
5,Oppenheimer,83,"Drama,History","Cillian Murphy,Emily Blunt,Matt Damon,Robert Downey Jr.,Florence Pugh,Josh Hartnett,Casey Affleck,Rami Malek,Kenneth Branagh,Benny Safdie,Jason Clarke,Dylan Arnold,Tom Conti,James D'Arcy,David Dastmalchian,Dane DeHaan,Alden Ehrenreich,Tony Goldwyn,Jefferson Hall,David Krumholtz,Matthew Modine,Scott Grimes,Kurt Koehler,John Gowans,Macon Blair,Harry Groener,Gregory Jbara,Ted King,Tim DeKay,Steven Houska,Petrie Willink,Matthias Schweighöfer,Alex Wolff,Josh Zuckerman,Rory Keane,Michael Angarano,Emma Dumont,Sadie Stratton,Britt Kyle,Guy Burnet,Tom Jenkins,Louise Lombard,Michael Andrew Baker,Jeff Hephner,Olli Haaskivi,David Rysdahl,Josh Peck,Jack Quaid,Brett DelBuono,Gustaf Skarsgård,James Urbaniak,Trond Fausa Aurvåg,Devon Bostick,Danny Deferrari,Christopher Denham,Jessica Erin Martin,Ronald Auguste,Máté Haumann,Olivia Thirlby,Jack Cutmore-Scott,Harrison Gilbertson,James Remar,Will Roberts,Pat Skipper,Steve Coulter,Jeremy John Wells,Sean Avery,Adam Kroeger,Drew Kenney,Bryce Johnson,Flora Nolan,Kerry Westcott,Christina Hogue,Clay Bunker,Tyler Beardsley,Maria Teresa Zuppetta,Kate French,Gary Oldman,Hap Lawrence,Meg Schimelpfenig,Matt Snead"
6,Mavka: The Forest Song,74,"Animation,Adventure,Family,Fantasy","Nataliia Denysenko,Artem Pyvovarov,Nazar Zadniprovskyi,Oleh Skripka,Olena Kravets,Serhii Prytula,Oleh Mykhailiuta,Nataliia Sumska,Julia Sanina,Mykhailo Khoma,Nina Matviienko,Kateryna Osadcha,Andrii Mostrenko,Khrystyna Soloviy,Kateryna Kukhar,DakhaBrakha"
7,Kingdom 3: The Flame of Fate,84,"Action,Adventure,War","Kento Yamazaki,Ryo Yoshizawa,Kanna Hashimoto,Nana Seino,Hiroshi Tamaki,Koichi Sato,Takao Osawa,Anne Watanabe,Yuki Yamada,Ainosuke Kataoka,Kōji Yamamoto,Jun Kaname,Shinnosuke Mitsushima,Masahiro Takashima,Amane Okayama,Takahiro Miura,Takayuki Hamatsu"
8,Elemental,77,"Animation,Comedy,Family,Fantasy,Romance","Leah Lewis,Mamoudou Athie,Ronnie del Carmen,Shila Ommi,Wendi McLendon-Covey,Catherine O'Hara,Mason Wertheimer,Ronobir Lahiri,Wilma Bonet,Joe Pera,Matthew Yang King,Clara Lin Ding,Reagan To,Jeff Lapensee,Ben Morris,Jonathan Adams,Alex Kapp,P.L. Brown"
9,The Venture Bros.: Radiant Is the Blood of the Baboon Heart,71,"Animation,Action,Adventure,Science Fiction","Christopher McCulloch,Doc Hammer,James Urbaniak,Michael Sinterniklaas,Patrick Warburton,Nina Arianda,Clancy Brown,John Hodgman,Hal Lublin,Jane Lynch,Charles Parnell,Jay Pharoah,Steven Rattazzi,J.K. Simmons,Dana Snyder"
